"Sample","Fluor","Copies","Inhibited"
"200L-2A","FAM",1336000,"NO"
"200L-2B","FAM",1099000,"NO"
"200L-2C","FAM",1229000,"NO"
"200L-3A","FAM",1827000,"NO"
"200L-3B","FAM",1758000,"NO"
"200L-3C","FAM",1543000,"NO"
"FB-20Jul15","FAM",NA,"NO"
"Well 1","FAM",NA,"NO"
"Well 2","FAM",NA,"NO"
"Well 3","FAM",NA,"NO"
"200L-2A","FAM",964500,"NO"
"200L-2B","FAM",1055000,"NO"
"200L-2C","FAM",1127000,"NO"
"200L-3A","FAM",2085000,"NO"
"200L-3B","FAM",1776000,"NO"
"200L-3C","FAM",1692000,"NO"
"FB-20Jul15","FAM",0.009114,"NO"
"Well 1","FAM",NA,"NO"
"Well 2","FAM",NA,"NO"
"Well 3","FAM",NA,"NO"
"200L-2A","FAM",885600,"NO"
"200L-2B","FAM",1066000,"NO"
"200L-2C","FAM",1196000,"NO"
"200L-3A","FAM",1805000,"NO"
"200L-3B","FAM",1820000,"NO"
"200L-3C","FAM",1558000,"NO"
"FB-20Jul15","FAM",NA,"NO"
"Well 1","FAM",NA,"NO"
"Well 2","FAM",NA,"NO"
"Well 3","FAM",NA,"NO"
"200L-2A","FAM",872400,"NO"
"200L-2B","FAM",1071000,"NO"
"200L-2C","FAM",1170000,"NO"
"200L-3A","FAM",1893000,"NO"
"200L-3B","FAM",1708000,"NO"
"200L-3C","FAM",1684000,"NO"
"FB-20Jul15","FAM",NA,"NO"
"Well 1","FAM",NA,"NO"
"Well 2","FAM",NA,"NO"
"Well 3","FAM",NA,"NO"
"200L-2A","HEX",840600,"NO"
"200L-2B","HEX",671000,"NO"
"200L-2C","HEX",727000,"NO"
"200L-3A","HEX",1217000,"NO"
"200L-3B","HEX",1209000,"NO"
"200L-3C","HEX",1113000,"NO"
"FB-20Jul15","HEX",NA,"NO"
"Well 1","HEX",NA,"NO"
"Well 2","HEX",NA,"NO"
"Well 3","HEX",NA,"NO"
"200L-2A","HEX",731400,"NO"
"200L-2B","HEX",639100,"NO"
"200L-2C","HEX",683600,"NO"
"200L-3A","HEX",1333000,"NO"
"200L-3B","HEX",1129000,"NO"
"200L-3C","HEX",1210000,"NO"
"FB-20Jul15","HEX",NA,"NO"
"Well 1","HEX",NA,"NO"
"Well 2","HEX",NA,"NO"
"Well 3","HEX",NA,"NO"
"200L-2A","HEX",639600,"NO"
