Sample,Fluor,Copies,Inhibited,tank,stock
200L-2A,FAM,1336000,NO,2A,200L
200L-2B,FAM,1099000,NO,2B,200L
200L-2C,FAM,1229000,NO,2C,200L
200L-3A,FAM,1827000,NO,3A,200L
200L-3B,FAM,1758000,NO,3B,200L
200L-3C,FAM,1543000,NO,3C,200L
200L-2A,FAM,964500,NO,2A,200L
200L-2B,FAM,1055000,NO,2B,200L
200L-2C,FAM,1127000,NO,2C,200L
200L-3A,FAM,2085000,NO,3A,200L
200L-3B,FAM,1776000,NO,3B,200L
200L-3C,FAM,1692000,NO,3C,200L
200L-2A,FAM,885600,NO,2A,200L
200L-2B,FAM,1066000,NO,2B,200L
200L-2C,FAM,1196000,NO,2C,200L
200L-3A,FAM,1805000,NO,3A,200L
200L-3B,FAM,1820000,NO,3B,200L
200L-3C,FAM,1558000,NO,3C,200L
200L-2A,FAM,872400,NO,2A,200L
200L-2B,FAM,1071000,NO,2B,200L
200L-2C,FAM,1170000,NO,2C,200L
200L-3A,FAM,1893000,NO,3A,200L
200L-3B,FAM,1708000,NO,3B,200L
200L-3C,FAM,1684000,NO,3C,200L
20L-1C,FAM,226800,NO,1C,20L
20L-2A,FAM,127300,NO,2A,20L
20L-2B,FAM,159400,NO,2B,20L
20L-2C,FAM,108700,NO,2C,20L
20L-3A,FAM,46130,NO,3A,20L
20L-3B,FAM,101000,NO,3B,20L
20L-3C,FAM,73670,NO,3C,20L
200L-1A,FAM,1117000,NO,1A,200L
200L-1B,FAM,1789000,NO,1B,200L
200L-1C,FAM,1498000,NO,1C,200L
20L-1C,FAM,170600,NO,1C,20L
20L-2A,FAM,125300,NO,2A,20L
20L-2B,FAM,144800,NO,2B,20L
20L-2C,FAM,111700,NO,2C,20L
20L-3A,FAM,52560,NO,3A,20L
20L-3B,FAM,71330,NO,3B,20L
20L-3C,FAM,96350,NO,3C,20L
200L-1A,FAM,1398000,NO,1A,200L
200L-1B,FAM,1707000,NO,1B,200L
200L-1C,FAM,1697000,NO,1C,200L
20L-1C,FAM,NA,NO,1C,20L
20L-2A,FAM,108200,NO,2A,20L
20L-2B,FAM,162100,NO,2B,20L
20L-2C,FAM,89250,NO,2C,20L
20L-3A,FAM,38580,NO,3A,20L
20L-3B,FAM,107300,NO,3B,20L
20L-3C,FAM,89640,NO,3C,20L
200L-1A,FAM,1116000,NO,1A,200L
200L-1B,FAM,1542000,NO,1B,200L
200L-1C,FAM,1869000,NO,1C,200L
20L-1C,FAM,248000,NO,1C,20L
20L-2A,FAM,104600,NO,2A,20L
20L-2B,FAM,143600,NO,2B,20L
20L-2C,FAM,113700,NO,2C,20L
