Sample,Fluor,Copies,Inhibited,tank,DNA
tank1_0,FAM,NA,NO,tank1,0
tank2_0,FAM,4.244,NO,tank2,0
tank3_0,FAM,NA,NO,tank3,0
tank4_1,FAM,NA,NO,tank4,1
tank5_1,FAM,54.58,NO,tank5,1
tank6_1,FAM,NA,NO,tank6,1
tank7_5,FAM,NA,NO,tank7,5
tank1_0,FAM,NA,NO,tank1,0
tank2_0,FAM,NA,NO,tank2,0
tank3_0,FAM,NA,NO,tank3,0
tank4_1,FAM,NA,NO,tank4,1
tank5_1,FAM,50.09,NO,tank5,1
tank6_1,FAM,NA,NO,tank6,1
tank7_5,FAM,13.48,NO,tank7,5
tank1_0,FAM,NA,NO,tank1,0
tank2_0,FAM,9.505,NO,tank2,0
tank3_0,FAM,NA,NO,tank3,0
tank4_1,FAM,7.771,NO,tank4,1
tank5_1,FAM,54.37,NO,tank5,1
tank6_1,FAM,3.96,NO,tank6,1
tank7_5,FAM,20.78,NO,tank7,5
tank1_0,FAM,NA,NO,tank1,0
tank2_0,FAM,4.956,NO,tank2,0
tank3_0,FAM,4.026,NO,tank3,0
tank4_1,FAM,4.092,NO,tank4,1
tank5_1,FAM,102.8,NO,tank5,1
tank6_1,FAM,NA,NO,tank6,1
tank7_5,FAM,7.554,NO,tank7,5
tank1_0,HEX,NA,NO,tank1,0
tank2_0,HEX,0.5284,NO,tank2,0
tank3_0,HEX,NA,NO,tank3,0
tank4_1,HEX,NA,NO,tank4,1
tank5_1,HEX,22.16,NO,tank5,1
tank6_1,HEX,7.864,NO,tank6,1
tank7_5,HEX,1.185,NO,tank7,5
tank1_0,HEX,NA,NO,tank1,0
tank2_0,HEX,NA,NO,tank2,0
tank3_0,HEX,NA,NO,tank3,0
tank4_1,HEX,NA,NO,tank4,1
tank5_1,HEX,17.19,NO,tank5,1
tank6_1,HEX,NA,NO,tank6,1
tank7_5,HEX,4.798,NO,tank7,5
tank1_0,HEX,NA,NO,tank1,0
tank2_0,HEX,NA,NO,tank2,0
tank3_0,HEX,NA,NO,tank3,0
tank4_1,HEX,5.169,NO,tank4,1
tank5_1,HEX,40.3,NO,tank5,1
tank6_1,HEX,2.664,NO,tank6,1
tank7_5,HEX,4.739,NO,tank7,5
tank1_0,HEX,NA,NO,tank1,0
tank2_0,HEX,NA,NO,tank2,0
tank3_0,HEX,NA,NO,tank3,0
tank4_1,HEX,1.741,NO,tank4,1
tank5_1,HEX,41.48,NO,tank5,1
tank6_1,HEX,4.165,NO,tank6,1
tank7_5,HEX,NA,NO,tank7,5
tank8_5,FAM,49.51,NO,tank8,5
tank9_5,FAM,11.35,NO,tank9,5
tank10_25,FAM,48.73,NO,tank10,25
tank11_25,FAM,17.11,NO,tank11,25
tank12_25,FAM,20.58,NO,tank12,25
tank8_5,FAM,66.36,NO,tank8,5
tank9_5,FAM,NA,NO,tank9,5
tank10_25,FAM,69.19,NO,tank10,25
tank11_25,FAM,36.93,NO,tank11,25
tank12_25,FAM,18.19,NO,tank12,25
tank8_5,FAM,34.58,NO,tank8,5
tank9_5,FAM,30.35,NO,tank9,5
tank10_25,FAM,23.2,NO,tank10,25
tank11_25,FAM,58.63,NO,tank11,25
tank12_25,FAM,10.22,NO,tank12,25
tank8_5,FAM,74.51,NO,tank8,5
tank9_5,FAM,NA,NO,tank9,5
tank10_25,FAM,29.71,NO,tank10,25
tank11_25,FAM,NA,NO,tank11,25
tank12_25,FAM,16.91,NO,tank12,25
tank8_5,HEX,12.38,NO,tank8,5
tank9_5,HEX,4.896,NO,tank9,5
tank10_25,HEX,32.01,NO,tank10,25
tank11_25,HEX,11.09,NO,tank11,25
tank12_25,HEX,30.85,NO,tank12,25
tank8_5,HEX,35.63,NO,tank8,5
tank9_5,HEX,8.139,NO,tank9,5
tank10_25,HEX,29.72,NO,tank10,25
tank11_25,HEX,17.17,NO,tank11,25
tank12_25,HEX,NA,NO,tank12,25
tank8_5,HEX,35.97,NO,tank8,5
tank9_5,HEX,3.478,NO,tank9,5
tank10_25,HEX,14.19,NO,tank10,25
tank11_25,HEX,24.68,NO,tank11,25
tank12_25,HEX,21.54,NO,tank12,25
tank8_5,HEX,35.52,NO,tank8,5
tank9_5,HEX,6.47,NO,tank9,5
tank10_25,HEX,35.07,NO,tank10,25
tank11_25,HEX,34.57,NO,tank11,25
tank12_25,HEX,6.081,NO,tank12,25
